"Id","LandSlope","Gentle Slope","Moderate Slope","Severe Slope"
190,"Gentle Slope",1,0,0
191,"Moderate Slope",0,1,0
192,"Gentle Slope",1,0,0
193,"Gentle Slope",1,0,0
194,"Gentle Slope",1,0,0
195,"Gentle Slope",1,0,0
196,"Gentle Slope",1,0,0
197,"Gentle Slope",1,0,0
198,"Gentle Slope",1,0,0
199,"Gentle Slope",1,0,0
200,"Gentle Slope",1,0,0
201,"Gentle Slope",1,0,0
202,"Gentle Slope",1,0,0
203,"Gentle Slope",1,0,0
204,"Gentle Slope",1,0,0
205,"Gentle Slope",1,0,0
206,"Gentle Slope",1,0,0
207,"Gentle Slope",1,0,0
208,"Gentle Slope",1,0,0
209,"Moderate Slope",0,1,0
210,"Gentle Slope",1,0,0
211,"Gentle Slope",1,0,0
212,"Gentle Slope",1,0,0
213,"Gentle Slope",1,0,0
214,"Gentle Slope",1,0,0
215,"Gentle Slope",1,0,0
216,"Gentle Slope",1,0,0
217,"Gentle Slope",1,0,0
218,"Gentle Slope",1,0,0
219,"Gentle Slope",1,0,0
220,"Gentle Slope",1,0,0
221,"Gentle Slope",1,0,0
222,"Gentle Slope",1,0,0
223,"Gentle Slope",1,0,0
224,"Gentle Slope",1,0,0
225,"Gentle Slope",1,0,0
226,"Gentle Slope",1,0,0
227,"Gentle Slope",1,0,0
228,"Gentle Slope",1,0,0
229,"Gentle Slope",1,0,0
230,"Gentle Slope",1,0,0
231,"Gentle Slope",1,0,0
232,"Gentle Slope",1,0,0
233,"Gentle Slope",1,0,0
234,"Gentle Slope",1,0,0
235,"Gentle Slope",1,0,0
236,"Gentle Slope",1,0,0
237,"Gentle Slope",1,0,0
238,"Gentle Slope",1,0,0
239,"Gentle Slope",1,0,0
240,"Gentle Slope",1,0,0
241,"Gentle Slope",1,0,0
242,"Gentle Slope",1,0,0
243,"Gentle Slope",1,0,0
244,"Gentle Slope",1,0,0
245,"Gentle Slope",1,0,0
246,"Gentle Slope",1,0,0
247,"Gentle Slope",1,0,0
248,"Gentle Slope",1,0,0
249,"Gentle Slope",1,0,0
250,"Severe Slope",0,0,1
251,"Gentle Slope",1,0,0
252,"Moderate Slope",0,1,0
253,"Gentle Slope",1,0,0
254,"Gentle Slope",1,0,0
255,"Gentle Slope",1,0,0
256,"Gentle Slope",1,0,0
257,"Gentle Slope",1,0,0
258,"Gentle Slope",1,0,0
259,"Gentle Slope",1,0,0
260,"Gentle Slope",1,0,0
261,"Gentle Slope",1,0,0
262,"Gentle Slope",1,0,0
263,"Gentle Slope",1,0,0
264,"Gentle Slope",1,0,0
265,"Gentle Slope",1,0,0
266,"Gentle Slope",1,0,0
267,"Gentle Slope",1,0,0
268,"Moderate Slope",0,1,0
269,"Gentle Slope",1,0,0
270,"Gentle Slope",1,0,0
271,"Gentle Slope",1,0,0
272,"Severe Slope",0,0,1
273,"Gentle Slope",1,0,0
274,"Gentle Slope",1,0,0
275,"Gentle Slope",1,0,0
276,"Gentle Slope",1,0,0
277,"Gentle Slope",1,0,0
278,"Gentle Slope",1,0,0
279,"Gentle Slope",1,0,0
280,"Gentle Slope",1,0,0
281,"Gentle Slope",1,0,0
282,"Gentle Slope",1,0,0
283,"Gentle Slope",1,0,0
284,"Gentle Slope",1,0,0
285,"Gentle Slope",1,0,0
286,"Gentle Slope",1,0,0
287,"Gentle Slope",1,0,0
288,"Gentle Slope",1,0,0
289,"Gentle Slope",1,0,0
290,"Gentle Slope",1,0,0
291,"Gentle Slope",1,0,0
292,"Gentle Slope",1,0,0
293,"Gentle Slope",1,0,0
294,"Gentle Slope",1,0,0
295,"Gentle Slope",1,0,0
296,"Gentle Slope",1,0,0
297,"Gentle Slope",1,0,0
298,"Gentle Slope",1,0,0
299,"Gentle Slope",1,0,0
300,"Gentle Slope",1,0,0
301,"Gentle Slope",1,0,0
302,"Gentle Slope",1,0,0
303,"Gentle Slope",1,0,0
304,"Gentle Slope",1,0,0
305,"Gentle Slope",1,0,0
306,"Gentle Slope",1,0,0
307,"Gentle Slope",1,0,0
308,"Gentle Slope",1,0,0
309,"Gentle Slope",1,0,0
310,"Gentle Slope",1,0,0
311,"Gentle Slope",1,0,0
312,"Gentle Slope",1,0,0
313,"Gentle Slope",1,0,0
314,"Severe Slope",0,0,1
315,"Gentle Slope",1,0,0
316,"Gentle Slope",1,0,0
317,"Gentle Slope",1,0,0
318,"Gentle Slope",1,0,0
319,"Moderate Slope",0,1,0
320,"Gentle Slope",1,0,0
321,"Gentle Slope",1,0,0
322,"Gentle Slope",1,0,0
323,"Gentle Slope",1,0,0
324,"Gentle Slope",1,0,0
325,"Gentle Slope",1,0,0
326,"Gentle Slope",1,0,0
327,"Gentle Slope",1,0,0
328,"Gentle Slope",1,0,0
329,"Gentle Slope",1,0,0
330,"Gentle Slope",1,0,0
331,"Gentle Slope",1,0,0
332,"Gentle Slope",1,0,0
333,"Gentle Slope",1,0,0
334,"Gentle Slope",1,0,0
335,"Gentle Slope",1,0,0
336,"Severe Slope",0,0,1
337,"Gentle Slope",1,0,0
338,"Gentle Slope",1,0,0
339,"Gentle Slope",1,0,0
340,"Gentle Slope",1,0,0
341,"Gentle Slope",1,0,0
342,"Gentle Slope",1,0,0
343,"Gentle Slope",1,0,0
344,"Gentle Slope",1,0,0
345,"Gentle Slope",1,0,0
346,"Gentle Slope",1,0,0
347,"Gentle Slope",1,0,0
348,"Gentle Slope",1,0,0
349,"Gentle Slope",1,0,0
350,"Gentle Slope",1,0,0
351,"Gentle Slope",1,0,0
352,"Moderate Slope",0,1,0
353,"Gentle Slope",1,0,0
354,"Gentle Slope",1,0,0
355,"Gentle Slope",1,0,0
356,"Gentle Slope",1,0,0
357,"Gentle Slope",1,0,0
358,"Gentle Slope",1,0,0
359,"Gentle Slope",1,0,0
360,"Gentle Slope",1,0,0
361,"Gentle Slope",1,0,0
362,"Gentle Slope",1,0,0
363,"Gentle Slope",1,0,0
364,"Gentle Slope",1,0,0
365,"Gentle Slope",1,0,0
366,"Gentle Slope",1,0,0
367,"Gentle Slope",1,0,0
368,"Gentle Slope",1,0,0
369,"Gentle Slope",1,0,0
370,"Gentle Slope",1,0,0
371,"Gentle Slope",1,0,0
372,"Gentle Slope",1,0,0
373,"Gentle Slope",1,0,0
374,"Gentle Slope",1,0,0
375,"Gentle Slope",1,0,0
376,"Severe Slope",0,0,1
377,"Gentle Slope",1,0,0
378,"Gentle Slope",1,0,0
379,"Gentle Slope",1,0,0
380,"Gentle Slope",1,0,0
381,"Gentle Slope",1,0,0
382,"Gentle Slope",1,0,0
383,"Gentle Slope",1,0,0
384,"Gentle Slope",1,0,0
385,"Moderate Slope",0,1,0
386,"Gentle Slope",1,0,0
387,"Gentle Slope",1,0,0
388,"Gentle Slope",1,0,0
389,"Gentle Slope",1,0,0
390,"Gentle Slope",1,0,0
391,"Gentle Slope",1,0,0
392,"Gentle Slope",1,0,0
393,"Gentle Slope",1,0,0
394,"Gentle Slope",1,0,0
395,"Gentle Slope",1,0,0
396,"Gentle Slope",1,0,0
397,"Gentle Slope",1,0,0
398,"Gentle Slope",1,0,0
399,"Gentle Slope",1,0,0
400,"Gentle Slope",1,0,0
401,"Gentle Slope",1,0,0
402,"Gentle Slope",1,0,0
403,"Gentle Slope",1,0,0
404,"Gentle Slope",1,0,0
405,"Gentle Slope",1,0,0
406,"Gentle Slope",1,0,0
407,"Gentle Slope",1,0,0
408,"Gentle Slope",1,0,0
409,"Gentle Slope",1,0,0
410,"Gentle Slope",1,0,0
411,"Gentle Slope",1,0,0
412,"Gentle Slope",1,0,0
413,"Gentle Slope",1,0,0
414,"Gentle Slope",1,0,0
415,"Gentle Slope",1,0,0
416,"Gentle Slope",1,0,0
417,"Gentle Slope",1,0,0
418,"Gentle Slope",1,0,0
419,"Gentle Slope",1,0,0
420,"Gentle Slope",1,0,0
421,"Gentle Slope",1,0,0
422,"Gentle Slope",1,0,0
423,"Moderate Slope",0,1,0
424,"Gentle Slope",1,0,0
425,"Gentle Slope",1,0,0
426,"Gentle Slope",1,0,0
427,"Moderate Slope",0,1,0
428,"Gentle Slope",1,0,0
429,"Gentle Slope",1,0,0
430,"Gentle Slope",1,0,0
431,"Gentle Slope",1,0,0
432,"Gentle Slope",1,0,0
433,"Gentle Slope",1,0,0
434,"Gentle Slope",1,0,0
435,"Gentle Slope",1,0,0
436,"Gentle Slope",1,0,0
437,"Gentle Slope",1,0,0
438,"Gentle Slope",1,0,0
439,"Gentle Slope",1,0,0
440,"Gentle Slope",1,0,0
441,"Gentle Slope",1,0,0
442,"Gentle Slope",1,0,0
443,"Gentle Slope",1,0,0
444,"Gentle Slope",1,0,0
445,"Gentle Slope",1,0,0
446,"Gentle Slope",1,0,0
447,"Gentle Slope",1,0,0
448,"Gentle Slope",1,0,0
449,"Gentle Slope",1,0,0
450,"Gentle Slope",1,0,0
451,"Gentle Slope",1,0,0
452,"Moderate Slope",0,1,0
453,"Gentle Slope",1,0,0
454,"Gentle Slope",1,0,0
455,"Gentle Slope",1,0,0
456,"Gentle Slope",1,0,0
457,"Gentle Slope",1,0,0
458,"Moderate Slope",0,1,0
459,"Gentle Slope",1,0,0
460,"Gentle Slope",1,0,0
461,"Gentle Slope",1,0,0
462,"Gentle Slope",1,0,0
463,"Gentle Slope",1,0,0
464,"Moderate Slope",0,1,0
465,"Moderate Slope",0,1,0
466,"Gentle Slope",1,0,0
467,"Gentle Slope",1,0,0
468,"Gentle Slope",1,0,0
469,"Gentle Slope",1,0,0
470,"Gentle Slope",1,0,0
471,"Gentle Slope",1,0,0
472,"Gentle Slope",1,0,0
473,"Gentle Slope",1,0,0
474,"Gentle Slope",1,0,0
475,"Gentle Slope",1,0,0
476,"Gentle Slope",1,0,0
477,"Moderate Slope",0,1,0
478,"Gentle Slope",1,0,0
479,"Gentle Slope",1,0,0
480,"Gentle Slope",1,0,0
481,"Gentle Slope",1,0,0
482,"Gentle Slope",1,0,0
483,"Gentle Slope",1,0,0
484,"Gentle Slope",1,0,0
485,"Gentle Slope",1,0,0
486,"Gentle Slope",1,0,0
487,"Gentle Slope",1,0,0
488,"Gentle Slope",1,0,0
489,"Gentle Slope",1,0,0
490,"Gentle Slope",1,0,0
491,"Gentle Slope",1,0,0
492,"Gentle Slope",1,0,0
493,"Gentle Slope",1,0,0
494,"Gentle Slope",1,0,0
495,"Gentle Slope",1,0,0
496,"Gentle Slope",1,0,0
497,"Gentle Slope",1,0,0
498,"Gentle Slope",1,0,0
499,"Gentle Slope",1,0,0
500,"Gentle Slope",1,0,0
501,"Gentle Slope",1,0,0
502,"Gentle Slope",1,0,0
503,"Gentle Slope",1,0,0
504,"Gentle Slope",1,0,0
505,"Gentle Slope",1,0,0
506,"Gentle Slope",1,0,0
507,"Gentle Slope",1,0,0
508,"Gentle Slope",1,0,0
509,"Gentle Slope",1,0,0
510,"Gentle Slope",1,0,0
511,"Gentle Slope",1,0,0
512,"Gentle Slope",1,0,0
513,"Gentle Slope",1,0,0
514,"Gentle Slope",1,0,0
515,"Gentle Slope",1,0,0
516,"Gentle Slope",1,0,0
517,"Gentle Slope",1,0,0
518,"Gentle Slope",1,0,0
519,"Gentle Slope",1,0,0
520,"Gentle Slope",1,0,0
521,"Gentle Slope",1,0,0
522,"Gentle Slope",1,0,0
523,"Gentle Slope",1,0,0
524,"Gentle Slope",1,0,0
525,"Gentle Slope",1,0,0
526,"Gentle Slope",1,0,0
527,"Gentle Slope",1,0,0
528,"Gentle Slope",1,0,0
529,"Gentle Slope",1,0,0
530,"Gentle Slope",1,0,0
531,"Gentle Slope",1,0,0
532,"Gentle Slope",1,0,0
533,"Gentle Slope",1,0,0
534,"Moderate Slope",0,1,0
535,"Gentle Slope",1,0,0
536,"Gentle Slope",1,0,0
537,"Gentle Slope",1,0,0
538,"Gentle Slope",1,0,0
539,"Gentle Slope",1,0,0
540,"Gentle Slope",1,0,0
541,"Gentle Slope",1,0,0
542,"Gentle Slope",1,0,0
543,"Gentle Slope",1,0,0
544,"Gentle Slope",1,0,0
545,"Gentle Slope",1,0,0
546,"Gentle Slope",1,0,0
547,"Gentle Slope",1,0,0
548,"Gentle Slope",1,0,0
549,"Gentle Slope",1,0,0
550,"Gentle Slope",1,0,0
551,"Gentle Slope",1,0,0
552,"Gentle Slope",1,0,0
553,"Gentle Slope",1,0,0
554,"Gentle Slope",1,0,0
555,"Gentle Slope",1,0,0
556,"Gentle Slope",1,0,0
557,"Gentle Slope",1,0,0
558,"Moderate Slope",0,1,0
559,"Gentle Slope",1,0,0
560,"Gentle Slope",1,0,0
561,"Gentle Slope",1,0,0
562,"Moderate Slope",0,1,0
563,"Gentle Slope",1,0,0
564,"Gentle Slope",1,0,0
565,"Gentle Slope",1,0,0
566,"Gentle Slope",1,0,0
567,"Gentle Slope",1,0,0
568,"Gentle Slope",1,0,0
569,"Moderate Slope",0,1,0
570,"Gentle Slope",1,0,0
571,"Gentle Slope",1,0,0
572,"Gentle Slope",1,0,0
573,"Gentle Slope",1,0,0
574,"Gentle Slope",1,0,0
575,"Gentle Slope",1,0,0
576,"Gentle Slope",1,0,0
577,"Gentle Slope",1,0,0
578,"Gentle Slope",1,0,0
579,"Gentle Slope",1,0,0
580,"Gentle Slope",1,0,0
581,"Gentle Slope",1,0,0
582,"Gentle Slope",1,0,0
583,"Gentle Slope",1,0,0
584,"Gentle Slope",1,0,0
585,"Gentle Slope",1,0,0
586,"Gentle Slope",1,0,0
587,"Gentle Slope",1,0,0
588,"Gentle Slope",1,0,0
589,"Severe Slope",0,0,1
590,"Gentle Slope",1,0,0
591,"Gentle Slope",1,0,0
592,"Gentle Slope",1,0,0
593,"Gentle Slope",1,0,0
594,"Gentle Slope",1,0,0
595,"Gentle Slope",1,0,0
596,"Gentle Slope",1,0,0
597,"Gentle Slope",1,0,0
598,"Gentle Slope",1,0,0
599,"Gentle Slope",1,0,0
600,"Gentle Slope",1,0,0
601,"Gentle Slope",1,0,0
602,"Gentle Slope",1,0,0
603,"Gentle Slope",1,0,0
604,"Gentle Slope",1,0,0
605,"Gentle Slope",1,0,0
606,"Gentle Slope",1,0,0
607,"Moderate Slope",0,1,0
608,"Moderate Slope",0,1,0
609,"Moderate Slope",0,1,0
610,"Gentle Slope",1,0,0
611,"Gentle Slope",1,0,0
612,"Gentle Slope",1,0,0
613,"Gentle Slope",1,0,0
614,"Gentle Slope",1,0,0
615,"Gentle Slope",1,0,0
616,"Gentle Slope",1,0,0
617,"Gentle Slope",1,0,0
618,"Moderate Slope",0,1,0
619,"Gentle Slope",1,0,0
620,"Gentle Slope",1,0,0
621,"Gentle Slope",1,0,0
622,"Gentle Slope",1,0,0
623,"Gentle Slope",1,0,0
624,"Gentle Slope",1,0,0
625,"Gentle Slope",1,0,0
626,"Gentle Slope",1,0,0
627,"Gentle Slope",1,0,0
628,"Gentle Slope",1,0,0
629,"Severe Slope",0,0,1
630,"Gentle Slope",1,0,0
631,"Gentle Slope",1,0,0
632,"Gentle Slope",1,0,0
633,"Gentle Slope",1,0,0
634,"Gentle Slope",1,0,0
635,"Gentle Slope",1,0,0
636,"Gentle Slope",1,0,0
637,"Gentle Slope",1,0,0
638,"Gentle Slope",1,0,0
639,"Gentle Slope",1,0,0
640,"Gentle Slope",1,0,0
641,"Gentle Slope",1,0,0
642,"Gentle Slope",1,0,0
643,"Gentle Slope",1,0,0
644,"Gentle Slope",1,0,0
645,"Gentle Slope",1,0,0
646,"Gentle Slope",1,0,0
647,"Gentle Slope",1,0,0
648,"Gentle Slope",1,0,0
649,"Gentle Slope",1,0,0
650,"Gentle Slope",1,0,0
651,"Gentle Slope",1,0,0
652,"Gentle Slope",1,0,0
653,"Gentle Slope",1,0,0
654,"Gentle Slope",1,0,0
655,"Gentle Slope",1,0,0
656,"Gentle Slope",1,0,0
657,"Gentle Slope",1,0,0
658,"Moderate Slope",0,1,0
659,"Gentle Slope",1,0,0
660,"Gentle Slope",1,0,0
661,"Gentle Slope",1,0,0
662,"Gentle Slope",1,0,0
663,"Gentle Slope",1,0,0
664,"Gentle Slope",1,0,0
665,"Gentle Slope",1,0,0
666,"Gentle Slope",1,0,0
667,"Gentle Slope",1,0,0
668,"Gentle Slope",1,0,0
669,"Moderate Slope",0,1,0
670,"Gentle Slope",1,0,0
671,"Gentle Slope",1,0,0
672,"Gentle Slope",1,0,0
673,"Gentle Slope",1,0,0
674,"Gentle Slope",1,0,0
675,"Gentle Slope",1,0,0
676,"Gentle Slope",1,0,0
677,"Gentle Slope",1,0,0
678,"Gentle Slope",1,0,0
679,"Gentle Slope",1,0,0
680,"Gentle Slope",1,0,0
681,"Gentle Slope",1,0,0
682,"Gentle Slope",1,0,0
683,"Gentle Slope",1,0,0
684,"Gentle Slope",1,0,0
685,"Gentle Slope",1,0,0
686,"Gentle Slope",1,0,0
687,"Gentle Slope",1,0,0
688,"Gentle Slope",1,0,0
689,"Gentle Slope",1,0,0
690,"Gentle Slope",1,0,0
691,"Gentle Slope",1,0,0
692,"Gentle Slope",1,0,0
693,"Moderate Slope",0,1,0
694,"Severe Slope",0,0,1
695,"Gentle Slope",1,0,0
696,"Gentle Slope",1,0,0
697,"Gentle Slope",1,0,0
698,"Gentle Slope",1,0,0
699,"Gentle Slope",1,0,0
700,"Gentle Slope",1,0,0
701,"Gentle Slope",1,0,0
702,"Gentle Slope",1,0,0
703,"Gentle Slope",1,0,0
704,"Gentle Slope",1,0,0
705,"Gentle Slope",1,0,0
706,"Gentle Slope",1,0,0
707,"Severe Slope",0,0,1
708,"Gentle Slope",1,0,0
709,"Gentle Slope",1,0,0
710,"Gentle Slope",1,0,0
711,"Gentle Slope",1,0,0
712,"Moderate Slope",0,1,0
713,"Gentle Slope",1,0,0
714,"Gentle Slope",1,0,0
715,"Gentle Slope",1,0,0
716,"Gentle Slope",1,0,0
717,"Gentle Slope",1,0,0
718,"Gentle Slope",1,0,0
719,"Gentle Slope",1,0,0
720,"Gentle Slope",1,0,0
721,"Moderate Slope",0,1,0
722,"Gentle Slope",1,0,0
723,"Gentle Slope",1,0,0
724,"Gentle Slope",1,0,0
725,"Gentle Slope",1,0,0
726,"Gentle Slope",1,0,0
727,"Gentle Slope",1,0,0
728,"Gentle Slope",1,0,0
729,"Gentle Slope",1,0,0
730,"Gentle Slope",1,0,0
731,"Gentle Slope",1,0,0
732,"Gentle Slope",1,0,0
733,"Gentle Slope",1,0,0
734,"Gentle Slope",1,0,0
735,"Gentle Slope",1,0,0
736,"Gentle Slope",1,0,0
737,"Gentle Slope",1,0,0
738,"Gentle Slope",1,0,0
739,"Gentle Slope",1,0,0
740,"Gentle Slope",1,0,0
741,"Gentle Slope",1,0,0
742,"Gentle Slope",1,0,0
743,"Gentle Slope",1,0,0
744,"Gentle Slope",1,0,0
745,"Gentle Slope",1,0,0
746,"Gentle Slope",1,0,0
747,"Gentle Slope",1,0,0
748,"Gentle Slope",1,0,0
749,"Gentle Slope",1,0,0
750,"Gentle Slope",1,0,0
751,"Gentle Slope",1,0,0
752,"Gentle Slope",1,0,0
753,"Gentle Slope",1,0,0
754,"Gentle Slope",1,0,0
755,"Gentle Slope",1,0,0
756,"Gentle Slope",1,0,0
757,"Gentle Slope",1,0,0
758,"Gentle Slope",1,0,0
759,"Gentle Slope",1,0,0
760,"Gentle Slope",1,0,0
761,"Gentle Slope",1,0,0
762,"Gentle Slope",1,0,0
763,"Gentle Slope",1,0,0
764,"Gentle Slope",1,0,0
765,"Gentle Slope",1,0,0
766,"Gentle Slope",1,0,0
767,"Gentle Slope",1,0,0
768,"Gentle Slope",1,0,0
769,"Gentle Slope",1,0,0
770,"Moderate Slope",0,1,0
771,"Gentle Slope",1,0,0
772,"Gentle Slope",1,0,0
773,"Gentle Slope",1,0,0
774,"Gentle Slope",1,0,0
775,"Gentle Slope",1,0,0
776,"Gentle Slope",1,0,0
777,"Gentle Slope",1,0,0
778,"Gentle Slope",1,0,0
779,"Gentle Slope",1,0,0
780,"Gentle Slope",1,0,0
781,"Gentle Slope",1,0,0
782,"Gentle Slope",1,0,0
783,"Gentle Slope",1,0,0
784,"Gentle Slope",1,0,0
785,"Gentle Slope",1,0,0
786,"Gentle Slope",1,0,0
787,"Gentle Slope",1,0,0
788,"Gentle Slope",1,0,0
789,"Gentle Slope",1,0,0
790,"Gentle Slope",1,0,0
791,"Gentle Slope",1,0,0
792,"Gentle Slope",1,0,0
793,"Gentle Slope",1,0,0
794,"Gentle Slope",1,0,0
795,"Gentle Slope",1,0,0
796,"Gentle Slope",1,0,0
797,"Gentle Slope",1,0,0
798,"Gentle Slope",1,0,0
799,"Gentle Slope",1,0,0
800,"Gentle Slope",1,0,0
801,"Moderate Slope",0,1,0
802,"Gentle Slope",1,0,0
803,"Gentle Slope",1,0,0
804,"Gentle Slope",1,0,0
805,"Gentle Slope",1,0,0
806,"Gentle Slope",1,0,0
807,"Gentle Slope",1,0,0
808,"Gentle Slope",1,0,0
809,"Gentle Slope",1,0,0
810,"Gentle Slope",1,0,0
811,"Gentle Slope",1,0,0
812,"Gentle Slope",1,0,0
813,"Moderate Slope",0,1,0
814,"Gentle Slope",1,0,0
815,"Gentle Slope",1,0,0
816,"Gentle Slope",1,0,0
817,"Gentle Slope",1,0,0
818,"Gentle Slope",1,0,0
819,"Gentle Slope",1,0,0
820,"Gentle Slope",1,0,0
