"Id","LotFrontage","LotArea","GarageArea","GrLivArea","TotalBsmtSF","SalePrice","lotfrontage_normmean","garagearea_normmean","grlivarea_normmean","totalbsmtsf_normmean","saleprice_normmean"
277,129,9196,573,1560,1560,201000,0.20188370421908683,0.07053586954421624,0.00839041095890411,0.08225377216779141,0.02788335524175676
115,61,7259,180,2320,1028,259500,-0.030993008109680288,-0.20661504723998686,0.15157051646003447,-0.004816604264287156,0.10912207208663942
121,NULL,21453,540,988,938,180000,1,0.04726365515775644,-0.09937145791826243,-0.01954655516445082,-0.001279261061534452
286,35,4251,528,1250,625,164700,-0.12003410400009125,0.03880103174449833,-0.05001200049550433,-0.0707740510727978,-0.02252631008250376
287,77,9786,440,1734,912,159000,0.023801512438264918,-0.023258206619394477,0.04117111932363659,-0.02380187431338699,-0.030441877364825662
288,NULL,8125,0,858,858,88000,1,-0.33355439843885853,-0.1238627917539821,-0.03263984485348519,-0.1290392943902388
289,NULL,9819,280,900,882,122000,1,-0.13609318546283594,-0.11595020697628805,-0.02871185794677488,-0.0818236298991959
294,NULL,16659,539,2263,795,235000,1,0.046558436539984926,0.1408320085474497,-0.042950810483599756,0.07509901973279967
296,37,7937,588,1003,1003,142500,-0.1131847889315981,0.08111414881078888,-0.0965455347833717,-0.008908257292110396,-0.0533553616031259
298,66,7399,576,1950,975,239000,-0.013869720438447412,0.07265152539753077,0.08186441246606312,-0.013490908683272426,0.08065380379056943
303,118,13704,843,1541,1541,205000,0.16421247134237452,0.2609448963425237,0.0048109083213758504,0.07914411586664574,0.03343813929952651
308,NULL,7920,0,1406,319,89500,1,-0.33355439843885853,-0.02062239989264073,-0.12085588413335425,-0.12695625036857514
309,NULL,12342,539,861,861,82500,1,0.046558436539984926,-0.12329760712700395,-0.032148846490146404,-0.1366771224696722
310,90,12378,708,1944,1896,360000,0.0683220603834704,0.16574038294336998,0.08073404321210682,0.13724558886173577,0.24868602153810448
311,NULL,7685,420,1501,697,165600,1,-0.03736257897482466,-0.0027248867049994322,-0.05899009035266686,-0.021276483669505568
316,71,7795,432,1432,716,188500,0.003253567232785464,-0.02889995556156655,-0.015724133125496795,-0.0558804340515212,0.010524655061226275
317,94,13005,484,2353,845,260000,0.0820206905204567,0.007771412562551925,0.1577875473567941,-0.034767504427953275,0.10981642009386063
322,99,12099,872,2468,1136,354000,0.09914397819168957,0.2813962362578975,0.179452958057623,0.012859336815909244,0.24035384545144986
323,86,10380,576,2730,1502,301000,0.0546234302464841,0.07265152539753077,0.22881241548038111,0.07276113714324149,0.16675295668600063
327,32,10846,473,1719,1719,324000,-0.13030807660283097,1.4007767065324471e-05,0.03834519618874586,0.10827668542474722,0.1986929650181767
329,NULL,11888,441,2134,844,214500,1,-0.02255298800162297,0.11652906958738941,-0.03493117054906621,0.04663075143672968
331,NULL,10624,352,1728,1728,119000,1,-0.08531744498328729,0.040040750069680296,0.10974968051476358,-0.0859897179425232
333,85,10655,880,1629,3206,284000,0.051198772712237516,0.28703798520006957,0.02138965737940147,0.3516482075196736,0.14314512444047917
335,59,9042,472,1638,943,192000,-0.03784232317817344,-0.0006912108507061847,0.02308521126033591,-0.018728224558886175,0.01538509111177481
337,86,14157,676,1922,1922,377426,0.0546234302464841,0.1431733871746817,0.07658935594760041,0.14150090801067192,0.27288543828577844
340,66,12400,297,1215,1215,155000,-0.013869720438447412,-0.12410446896072029,-0.0566058211435827,0.025788960383830686,-0.035996661422595416
344,63,8849,564,1684,1684,266000,-0.024143693041187138,0.06418890198427266,0.03175137554066749,0.10254837118579467,0.11814859618051526
347,NULL,12772,301,958,958,151500,1,-0.12128359448963426,-0.1050233041880439,-0.01627323274219223,-0.04085709747314395
348,NULL,17600,498,1478,1478,157500,1,0.017644473211353054,-0.0070579688451652195,0.06883315023653118,-0.03252492138648932
351,68,7820,617,1869,1869,318061,-0.007020405369954262,0.10156548872616264,0.06660442753765317,0.13282660359168666,0.19044549938840305
357,NULL,9248,400,1167,1158,173000,1,-0.05146695133025485,-0.06564877517523304,0.016459991480393694,-0.011000133162631522
359,92,6930,288,1352,1062,130000,0.07517137545196355,-0.13045143652066388,-0.03079572317824736,0.0007480438535524517,-0.07071406178365638
360,78,12011,592,1924,1086,280000,0.027226169972511493,0.08393502328187491,0.07696614569891919,0.004676030760262763,0.1375903403827094
361,NULL,7540,470,912,888,156000,1,-0.002101648086249203,-0.11368946846837547,-0.027729861220097303,-0.034607965408152974
365,NULL,18800,566,1574,796,190000,1,0.06559933921981567,0.011027939218135458,-0.04278714436248683,0.012607699082889933
367,NULL,9500,514,1394,1394,159000,1,0.0289279710956972,-0.022883138400553314,0.055085196063045086,-0.030441877364825662
368,101,9150,296,1431,1099,165000,0.10599329326018272,-0.1248096875784918,-0.015912528001156178,0.0068036903347308475,-0.02210970127817103
370,NULL,9830,576,1287,1063,162000,1,0.07265152539753077,-0.0430413900961072,0.0009117099746653813,-0.026275789321498346
371,NULL,8121,460,1664,953,172400,1,-0.009153834263964294,0.027983478027479844,-0.017091563347756876,-0.011833350771296986
377,57,8846,576,914,870,148000,-0.04469163824666659,0.07265152539753077,-0.1133126787170567,-0.030675851400130037,-0.04571753352369248
378,102,11143,610,2466,1580,340000,0.1094179507944293,0.09662895840176208,0.17907616830630427,0.08552709459004999,0.22091210124925573
380,60,8123,463,1800,982,179000,-0.03441766564392686,-0.007038178410649768,0.05360518111715581,-0.012345245835481918,-0.002667957075976891
383,79,9245,639,1797,939,213500,0.030650827506758068,0.11708029831713584,0.05303999649017766,-0.019382889043337893,0.045242055422287236
389,93,9382,577,1479,1468,191000,0.07859603298621012,0.07335674401530227,-0.006869573969505838,0.06719648902540187,0.013996395097332371
392,71,12209,560,1961,804,215000,0.003253567232785464,0.061368027513186624,0.08393675609831631,-0.04147781539358339,0.0473250994439509
393,NULL,8339,294,882,0,106500,1,-0.12622012481403483,-0.11934131473815693,-0.1730653767683788,-0.10334841812305369
402,65,8767,400,1310,1310,164990,-0.017294377972693988,-0.05146695133025485,-0.03870830795594141,0.041337241889559,-0.022123588238315454
405,NULL,10364,373,1572,806,168000,1,-0.0705078540100856,0.010651149466816695,-0.04115048315135753,-0.017943613234843715
406,NULL,9991,490,1620,1281,150000,1,0.01200272426918098,0.019694103498467033,0.03659092437728404,-0.042940141494807606
416,73,8899,396,1340,1340,181134,0.010102882301278615,-0.05428782580134088,-0.033056461686159944,0.04624722552294689,0.00029552021884327316
418,86,22420,864,2624,1370,239000,0.0546234302464841,0.2757544873157254,0.20884255866048662,0.051157209156334774,0.08065380379056943
422,NULL,16635,529,1602,1602,215000,1,0.03950625036226984,0.016302995736598155,0.08912774925453446,0.0473250994439509
428,77,8593,352,907,907,109008,0.023801512438264918,-0.08531744498328729,-0.11463144284667239,-0.02462020491895164,-0.09986556851883205
430,130,11457,576,1412,1392,175000,0.20530836175333342,0.07265152539753077,-0.019492030638684436,0.05475786382081923,-0.008222741133746644
432,60,5586,0,1198,901,79900,-0.03441766564392686,-0.33355439843885853,-0.0598085340297922,-0.02560220164562922,-0.14028773210722256
434,100,10839,470,1604,926,181000,0.10256863572593615,-0.002101648086249203,0.01667978548791692,-0.021510548617805977,0.00010943495290798639
447,137,16492,578,1888,1517,190000,0.22928096449305943,0.07406196263307378,0.07018393017518143,0.07521612895993543,0.012607699082889933
453,NULL,9303,422,1756,872,204000,1,-0.03595214173928164,0.04531580658814299,-0.030348519157904177,0.03204944328508407
460,NULL,7015,352,1203,709,110000,1,-0.08531744498328729,-0.05886655965149529,-0.05702609689931171,-0.09848798207250516
461,75,8004,552,1935,832,263435,0.016952197369771764,0.055726278571014545,0.07903848933117238,-0.03689516400242136,0.11458659090347041
463,60,8281,360,864,864,62383,-0.03441766564392686,-0.07967569604111521,-0.1227324225000258,-0.031657848126807615,-0.16461352019221076
469,98,11428,866,1634,1626,250000,0.095719320657443,0.27716492455126845,0.02233163175769838,0.09305573616124475,0.09592945994943625
470,76,9291,506,1710,832,187000,0.02037685490401834,0.023286222153525125,0.03664964230781142,-0.03689516400242136,0.008441611039562617
471,NULL,6820,528,1502,1488,212000,1,0.03880103174449833,-0.0025364918293400503,0.07046981144766047,0.04315901140062358
474,110,14977,908,1976,1976,440000,0.13681521106840192,0.3067841064976718,0.08676267923320705,0.15033887855077013,0.35978170269349957
481,98,16033,772,1850,1833,326000,0.095719320657443,0.21087437448074656,0.06302492490012492,0.1269346232316212,0.20147035704706157
482,72,11846,874,1792,1792,374000,0.006678224767032039,0.2828066734934405,0.05209802211188075,0.12022431226599108,0.2681277657402986
485,NULL,7758,264,999,999,132500,1,-0.1473766833471801,-0.09729911428600922,-0.009562921776562115,-0.06724232174755028
488,70,12243,487,1484,1484,175000,-0.0001710903014611113,0.009887068415866453,-0.005927599591208928,0.06981514696320876,-0.008222741133746644
493,105,15578,429,1456,728,172785,0.11969192339716903,-0.03101561141488108,-0.011202656109671624,-0.05391644059816604,-0.011298702805736647
497,NULL,12692,546,3228,3200,430000,1,0.0514949668643855,0.3226330635587534,0.350666210792996,0.3458947425490752
500,70,7535,297,912,912,120000,-0.0001710903014611113,-0.12410446896072029,-0.11368946846837547,-0.02380187431338699,-0.08460102192808076
504,100,15602,484,1801,1501,289000,0.10256863572593615,0.007771412562551925,0.05379357599281519,0.07259747102212856,0.15008860451269135
507,80,9554,471,1911,777,215000,0.03407548504100464,-0.001396429468477694,0.07451701231534721,-0.04589680066363249,0.0473250994439509
508,75,7862,676,1218,1218,208300,0.016952197369771764,0.1431733871746817,-0.056040636516604556,0.02627995874716947,0.03802083614718656
512,40,6792,474,1368,1368,202665,-0.10291081632885837,0.0007192263848368336,-0.027781405167697247,0.05082987691410892,0.030195534105803418
517,NULL,10448,583,2119,689,158000,1,0.07758805572193134,0.11370314645249868,-0.0602994193215703,-0.0318305733792681
518,79,10208,889,2344,1264,265000,0.030650827506758068,0.29338495276001314,0.15609199347585964,0.03380860031836424,0.11675990016607282
519,NULL,9531,546,1796,794,211000,1,0.0514949668643855,0.052851601614518275,-0.04311447660471269,0.041770315386181145
522,90,11988,336,1244,1244,150000,0.0683220603834704,-0.09660094286763143,-0.051142369749460626,0.030535277896105644,-0.042940141494807606
524,130,40094,884,4676,3138,184750,0.20530836175333342,0.2898588596711556,0.5954288435135386,0.34051891128399436,0.005317045007067131
525,95,11787,834,2398,1379,315750,0.08544534805470327,0.25459792878258014,0.16626531676146628,0.05263020424635114,0.18723622289902658
209,NULL,14364,454,2062,1157,277000,1,-0.01338514597059335,0.1029646385399139,0.016296325359280765,0.1334242523393821
528,67,14948,858,2713,1452,446261,-0.010445062904200837,0.27152317560909633,0.22560970259417162,0.064577831087595,0.3684763284399237
529,58,9098,0,605,528,86000,-0.041266980712420014,-0.33355439843885853,-0.17152669529580578,-0.08664966482075197,-0.13181668641912367
530,NULL,32668,484,2515,2035,200624,1,0.007771412562551925,0.188307517213614,0.15999517969643298,0.0273612055403264
532,60,6155,502,1362,611,128000,-0.03441766564392686,0.02046534768243909,-0.02891177442165354,-0.0730653767683788,-0.07349145381254125
535,74,9056,403,1414,707,178000,0.01352753983552519,-0.04935129547694032,-0.019115240887365673,-0.057353429141537564,-0.0040566530904193295
537,57,8924,527,1724,880,188000,-0.04469163824666659,0.03809581312672682,0.03928717056704277,-0.029039190189000738,0.009830307054005056
538,NULL,12735,576,864,864,111250,1,0.07265152539753077,-0.1227324225000258,-0.031657848126807615,-0.0967521120544521
539,NULL,11553,336,1159,1051,158000,1,-0.09660094286763143,-0.0671559341805081,-0.0010522834786897742,-0.0318305733792681
545,58,17104,426,1496,654,179665,-0.041266980712420014,-0.033131267268195604,-0.0036668610832963425,-0.06602773356052284,-0.001744474226372669
546,NULL,13837,786,2183,1204,229000,1,0.2207474351295477,0.12576041849469913,0.023988633051588458,0.06676684364614503
547,70,8737,440,1635,1065,210000,-0.0001710903014611113,-0.023258206619394477,0.022520026633357764,0.0012390422168912405,0.0403816193717387
549,49,8235,720,825,825,125000,-0.0720888985206392,0.17420300635662808,-0.1300798226507417,-0.038040826850211866,-0.07765754185586857
553,87,11146,908,1717,1709,255500,0.05804808778073067,0.3067841064976718,0.03796840643742709,0.10664002421361791,0.10356728802886966
557,69,14850,299,1092,1092,141000,-0.0035957478357076865,-0.12269403172517727,-0.0797783908496867,0.00565802748694034,-0.055438405624789557
561,NULL,11341,528,1392,1392,121500,1,0.03880103174449833,-0.023259928151872077,0.05475786382081923,-0.08251797790641711
565,NULL,13346,590,2295,1095,268000,1,0.0825245860463319,0.14686064456854991,0.006149025850279129,0.12092598820940013
567,77,11198,656,2504,1122,325000,0.023801512438264918,0.1290690148192515,0.18623517358136077,0.010568011120328229,0.20008166103261915
568,70,10171,532,1535,1517,214000,-0.0001710903014611113,0.04162190621558436,0.003680539067419558,0.07521612895993543,0.04593640342950846
570,NULL,7032,600,943,943,135960,1,0.08957677222404699,-0.10784922732293463,-0.018728224558886175,-0.06243743353757945
191,70,10570,440,2727,853,315000,-0.0001710903014611113,-0.023258206619394477,0.22824723085340298,-0.03345817545904984,0.18619470088819476
571,74,13101,576,1728,1728,142600,0.01352753983552519,0.07265152539753077,0.040040750069680296,0.10974968051476358,-0.05321649200168165
573,83,13159,650,1692,846,224500,0.044349457643744365,0.12483770311262245,0.03325853454594254,-0.03460383830684035,0.060517711581154064
574,76,9967,400,1430,384,170000,0.02037685490401834,-0.05146695133025485,-0.016100922876815558,-0.11021758626101383,-0.015166221205958837
578,96,11777,564,1320,1164,164500,0.08887000558894985,0.06418890198427266,-0.03682435919934759,0.017441988207071272,-0.02280404928539225
581,NULL,14585,572,1429,1144,181900,1,0.06983065092644473,-0.01628931775247494,0.01416866578481268,0.001359261365906181
588,74,8740,528,860,840,137000,0.01352753983552519,0.03880103174449833,-0.12348600200266334,-0.03558583503351793,-0.06099318968255931
592,97,13478,842,2296,1722,451950,0.09229466312319642,0.2602396777247522,0.1470490394442093,0.108767683788086,0.3763766200660867
595,88,7990,280,924,924,110000,0.06147274531497725,-0.13609318546283594,-0.11142872996046288,-0.021837880860031838,-0.09848798207250516
596,69,11302,758,1826,1814,319000,-0.0035957478357076865,0.20100131383194544,0.05850344788429974,0.12382496693047552,0.1917494849459645
603,80,10041,506,1915,908,220000,0.03407548504100464,0.023286222153525125,0.07527059181798475,-0.02445653879783871,0.05426857951616309
605,88,12803,530,1494,1494,221000,0.06147274531497725,0.04021146898004135,-0.004043650834615106,0.07145180817433805,0.05565727553060553
612,NULL,10395,564,1032,1032,148000,1,0.06418890198427266,-0.09108208338924963,-0.0041619397798354375,-0.04571753352369248
617,NULL,7861,393,1509,783,183200,1,-0.05640348165465541,-0.0012177276997243757,-0.04491480393695491,0.003164566184681351
626,87,10000,440,1116,1116,160000,0.05804808778073067,-0.023258206619394477,-0.07525691383386153,0.00958601439365065,-0.029053181350383223
627,NULL,12342,286,1422,978,139900,1,-0.1318618737562069,-0.017608081882090617,-0.012999910319933637,-0.05696597124067624
641,62,12677,588,1518,1518,274000,-0.027568350575433713,0.08111414881078888,0.0004778261812100629,0.07537979508104836,0.12925816429605477
646,NULL,10530,576,981,981,143250,1,0.07265152539753077,-0.1006902220478781,-0.012508911956594848,-0.05231383959229407
648,85,10452,495,1094,1094,155000,0.051198772712237516,0.015528817358038526,-0.07940160109836793,0.0059853597291662,-0.035996661422595416
655,91,10437,839,2113,2109,350000,0.07174671791771697,0.2581240218714377,0.11257277719854239,0.17210647265878976,0.2347990613936801
657,72,10007,312,1053,1053,145500,0.006678224767032039,-0.11352618969414766,-0.0871257910004026,-0.000724951236463915,-0.04918927355979858
252,44,4750,538,1625,1573,235000,-0.08921218619187207,0.04585321792221342,0.020636077876763945,0.08438143174225948,0.07509901973279967
666,106,11194,504,1936,1406,230500,0.1231165809314156,0.02187578491798211,0.07922688420683177,0.05704918951640024,0.0688498876678087
667,NULL,18450,596,2380,1021,129000,1,0.08675589775296096,0.1628742089995974,-0.0059622671120776625,-0.07210275779809881
673,NULL,11250,546,1208,1208,165000,1,0.0514949668643855,-0.057924585273198374,0.024643297536040176,-0.02210970127817103
679,80,11844,834,2046,2046,372500,0.03407548504100464,0.25459792878258014,0.0999503205293638,0.1617955070286752,0.26604472171863497
680,NULL,9945,572,988,988,128500,1,0.06983065092644473,-0.09937145791826243,-0.011363249108804341,-0.07279710580532003
684,90,11248,702,1668,1626,285000,0.0683220603834704,0.16150907123674094,0.028737057530117373,0.09305573616124475,0.1445338204549216
686,NULL,5062,577,2090,1190,207500,1,0.07335674401530227,0.1082396950583766,0.021697307356007445,0.036909879335632605
690,61,7577,460,1362,1362,194700,-0.030993008109680288,-0.009153834263964294,-0.02891177442165354,0.04984788018743134,0.019134570350769396
692,104,21535,832,4316,2444,755000,0.11626726586292245,0.2531874915470371,0.5276066882761611,0.2269346232316212,0.7972209472428677
696,54,13811,551,1137,1112,176000,-0.054965610849406314,0.05502105995324304,-0.0713006214450145,0.008931349909198933,-0.006834045119304207
698,57,6420,308,1148,980,123500,-0.04469163824666659,-0.11634706416523369,-0.06922827781276131,-0.012672578077707778,-0.07974058587753223
703,82,12438,666,2576,1234,361919,0.04092480010949779,0.1361212009969666,0.19979960462883628,0.02889861668497635,0.25135092918981955
709,65,9018,400,1456,728,179540,-0.017294377972693988,-0.05146695133025485,-0.011202656109671624,-0.05391644059816604,-0.001918061228177974
