"Id","LotFrontage","LotArea","GarageArea","GrLivArea","TotalBsmtSF","SalePrice","lotfrontage_stddev","garagearea_stddev","grlivarea_stddev","totalbsmtsf_stddev","saleprice_stddev"
97,78,10264,472,1588,1588,214000,0.32736762993504126,-0.0045842600178681555,0.13803807650693029,1.20940074889431,0.41638673139933785
100,77,9320,0,1225,950,128950,0.2861895273426675,-2.212204989237507,-0.5527584050577365,-0.24487838661898712,-0.6541988734547323
101,NULL,10603,480,1610,1610,205000,1,0.032833040477379956,0.1799045299350919,1.2595483052913201,0.30309724940419813
104,94,10402,740,1226,1226,198900,0.9862172714130213,1.2488953065729438,-0.5508553844473656,0.38424550272532326,0.2263121560519368
110,105,11751,546,1844,1844,190000,1.4391763999291325,0.3415257695631769,0.6252113527619019,1.7929359506049747,0.11428144607896533
112,NULL,7750,400,1430,384,180000,1,-0.3413399644751012,-0.16263917993168503,-1.5350382466511598,-0.011595756137856558
125,48,17043,435,1586,1362,181000,-0.9079754478361712,-0.17763927480839067,0.13423203528618832,0.6942485786341138,0.0009919640838256306
127,NULL,4928,440,958,1078,128000,1,-0.1542534619988606,-1.060864908026789,0.04688921423634523,-0.6661572076653304
128,55,4388,0,840,672,87000,-0.619728729689555,-2.212204989237507,-1.285421340050565,-0.878561144726662,-1.1822537367543
132,NULL,12224,390,2054,992,244000,1,-0.38811159009416135,1.0248456809398083,-0.1491421425883312,0.7940183380498035
134,NULL,6853,471,1296,1267,220000,1,-0.00926142257977417,-0.41764394172139674,0.4777023123742969,0.491913052729431
135,78,10335,440,1721,1461,180000,0.32736762993504126,-0.1542534619988606,0.391139817686271,0.91991258242066,-0.011595756137856558
137,NULL,10355,318,1214,1214,143000,1,-0.7248672945513943,-0.5736916317718174,0.35689229014513585,-0.47734140434009753
139,73,9066,660,1852,1004,230000,0.12147711697317251,0.8747223016204625,0.6404355176448697,-0.12178893000814378,0.6177902549462528
140,65,15426,470,1764,928,231500,-0.20794770376581748,-0.013938585141680183,0.47296970393222326,-0.2950259430159973,0.6366718352787761
144,78,10335,577,1501,1490,204000,0.32736762993504126,0.4865178089822633,-0.027524716595345236,0.9860161794894462,0.290509529182516
148,NULL,9505,434,2035,884,222500,1,-0.1823164373702967,0.9886882893427597,-0.39532105581001786,0.5233823532836365
153,NULL,14803,495,1993,825,190000,1,0.10299047890597017,0.9087614237071784,-0.5298076843292726,0.11428144607896533
160,134,19378,576,2462,1392,320000,2.633341375107971,0.48184064642035734,1.8012780899711693,0.7626316100845824,1.75068507489765
161,NULL,11120,516,1232,1232,162500,1,0.20121089270599649,-0.5394372607851396,0.3979221090154169,-0.23188086001729485
162,110,13688,726,2668,1572,412500,1.6450669128910012,1.1834150307062594,2.1933003357075918,1.1729297987873935,2.915049195403252
167,NULL,10708,303,1867,1617,190000,1,-0.7950247329799845,0.6689808268004345,1.2755043459630961,0.11428144607896533
169,62,8244,440,1720,840,183500,-0.3314820115429387,-0.1542534619988606,0.38923679707590003,-0.49561616860403834,0.032461264638031104
170,NULL,16669,511,1707,1686,228000,1,0.1778250798964664,0.36449752914107725,1.4327853182991739,0.5926148145028884
171,NULL,12358,660,1382,720,128500,1,0.8747223016204625,-0.2539841692294922,-0.7691482944059124,-0.6598633475544893
172,141,31770,528,1656,1080,215000,2.9215880932545875,0.25733684344886865,0.2674434780121571,0.05144808299970979,0.42897445162102005
53,110,8472,516,816,816,110000,1.6450669128910012,0.20121089270599649,-1.3310938346994685,-0.5503225937644132,-0.8927361716556097
173,44,5306,504,1767,1064,239000,-1.0726878582056663,0.1450849419631243,0.47867876576333623,0.014977132892793253,0.7310797369413926
55,60,7134,572,1360,384,130000,-0.4138382167276862,0.46313199617273326,-0.29585062265765383,-1.5350382466511598,-0.640981767221966
174,80,10197,504,1362,1362,163000,0.40972383511978877,0.1450849419631243,-0.29204458143691187,0.6942485786341138,-0.22558699990645376
175,47,12416,616,1651,1606,184000,-0.949153550428545,0.6689271488965979,0.2579283749603022,1.250430567764591,0.038755124748872195
177,97,10029,521,2060,1151,211000,1.1097515791901424,0.22459670551552655,1.0362638046020343,0.21328792409915195,0.37862357073429126
179,63,17423,1166,2234,2216,501837,-0.29030390895056496,3.2413665579449056,1.3673893908065853,2.6408855405907845,4.039598356847674
185,92,7438,576,1252,504,127000,0.9038610662282738,0.48184064642035734,-0.50137684857772,-1.2615061208492857,-0.6787449278870126
187,NULL,9947,497,1217,1188,173000,1,0.1123448040297822,-0.5679825699407044,0.29762699622139643,-0.09970979768963188
192,NULL,7472,484,1479,725,184000,1,0.051541690725004016,-0.06939117002350687,-0.757751122497501,0.038755124748872195
193,68,9017,666,1431,1431,192000,-0.08441339598869622,0.9027852769918986,-0.16073615932131405,0.8515295509701915,0.1394568865223297
195,60,7180,352,864,864,127000,-0.4138382167276862,-0.5658437674465898,-1.2397488454016614,-0.4409097434436635,-0.6787449278870126
207,40,13673,349,1696,1140,143900,-1.2374002685751613,-0.5798752551323079,0.3435643024269964,0.18821414590064683,-0.46601245614058356
208,NULL,12493,312,1100,1100,141000,1,-0.7529302699228304,-0.7906359813541094,0.09703677063335547,-0.5025168447834619
215,NULL,10900,299,1392,689,161750,1,-0.8137333832276086,-0.23495396312578237,-0.8398107602380632,-0.2413216501835565
216,72,10011,447,1236,1070,134450,0.08029901438079877,-0.12151332406551851,-0.5318251783436557,0.028653739182886957,-0.5849664122354803
219,NULL,15660,431,1954,798,311500,1,-0.19634792505601473,0.83454361990271,-0.5913524126346943,1.6436894530133512
221,73,8990,675,1498,1498,204900,0.12147711697317251,0.9448797400490527,-0.03323377842645819,1.0042516545429043,0.30183847738202996
222,NULL,8068,390,2267,1010,200000,1,-0.38811159009416135,1.4301890709488276,-0.10811232371805007,0.2401586482957872
227,82,9950,721,2520,1203,290000,0.4920800403045363,1.1600292178967293,1.9116532853726862,0.3318185119466307,1.3730534682471842
232,174,15138,810,2794,1462,403000,4.280465478802921,1.5762966859063647,2.433080932614336,0.9221920168023422,2.7954658532972716
238,NULL,9453,457,1744,996,194500,1,-0.07474169844645837,0.43490929172480364,-0.14002440506160205,0.17092618707653517
245,NULL,8880,463,2110,948,205000,1,-0.046678723075022285,1.1314148351205835,-0.24943725538235167,0.30309724940419813
251,55,5350,0,1306,728,76500,-0.619728729689555,-2.212204989237507,-0.3986137356176869,-0.7509128193524541,-1.314424799081963
253,65,8366,520,1640,798,173000,-0.20794770376581748,0.21991954295362054,0.2369951482462214,-0.5913524126346943,-0.09970979768963188
256,66,8738,429,2291,975,230000,-0.16676960117344372,-0.20570225017982677,1.4758615655977314,-0.18789252707693002,0.6177902549462528
262,69,9588,868,2574,1482,276000,-0.04323529339632248,1.8475721144969135,2.0144163983327195,0.967780704435988,1.1968253851436335
263,88,8471,492,1212,506,151000,0.7391486558587788,0.08895899122025212,-0.5774976729925593,-1.256947252085921,-0.37663964256664
266,78,12090,576,1422,1422,175500,0.32736762993504126,0.48184064642035734,-0.17786334481465288,0.8310146415350509,-0.0682404971354264
267,70,11207,413,1511,802,185000,-0.0020571908039487318,-0.280536851170323,-0.008494510491635408,-0.5822346751079651,0.051342844970554385
270,NULL,7917,504,1113,1143,148000,1,0.1450849419631243,-0.7658967134192866,0.1950524490456937,-0.4144028032316866
273,92,11764,671,2270,1152,290000,0.9038610662282738,0.9261710898014287,1.4358981327799405,0.21556735848083422,1.3730534682471842
277,129,9196,573,1560,1560,201000,2.4274508621461024,0.4678091587346393,0.08475349941654275,1.145576586207206,0.2527463685174694
115,61,7259,180,2320,1028,259500,-0.37266011413531247,-1.3703157280944243,1.5310491632984897,-0.06708250484776897,0.9891280014858774
121,NULL,21453,540,988,938,180000,1,0.31346279419174083,-1.0037742897156594,-0.2722315991991745,-0.011595756137856558
286,35,4251,528,1250,625,164700,-1.44329078153703,0.25733684344886865,-0.5051828897984619,-0.9856945606657294,-0.20418787552959403
287,77,9786,440,1734,912,159000,0.2861895273426675,-0.1542534619988606,0.41587908562109377,-0.3314968931229139,-0.2759378807931825
288,NULL,8125,0,858,858,88000,1,-2.212204989237507,-1.2511669690638871,-0.4545863497337572,-1.1696660165326178
289,NULL,9819,280,900,882,122000,1,-0.902599471903823,-1.171240103428306,-0.3998799245733824,-0.7416835289954234
294,NULL,16659,539,2263,795,235000,1,0.3087856316298348,1.4225769885073436,-0.5981907157797411,0.6807288560546638
296,37,7937,588,1003,1003,142500,-1.3609345763522824,0.5379665971632295,-0.9752289805600948,-0.12406836438982606,-0.48363526445093863
298,66,7399,576,1950,975,239000,-0.16676960117344372,0.48184064642035734,0.826931537461226,-0.18789252707693002,0.7310797369413926
303,118,13704,843,1541,1541,205000,1.9744917336299912,1.7306430504492631,0.048596107819494076,1.1022673329552426,0.30309724940419813
308,NULL,7920,0,1406,319,89500,1,-2.212204989237507,-0.2083116745805886,-1.6832014814605083,-1.1507844362000945
309,NULL,12342,539,861,861,82500,1,0.3087856316298348,-1.2454579072327743,-0.44774804658871037,-1.23889847775187
310,90,12378,708,1944,1896,360000,0.8215048610435263,1.0992261045919511,0.8155134137990002,1.9114665384524534,2.2541938837649376
311,NULL,7685,420,1501,697,165600,1,-0.2477967132369809,-0.027524716595345236,-0.8215752851846049,-0.19285892733008006
316,71,7795,432,1432,716,188500,0.039120911788425014,-0.19167076249410872,-0.15883313871094307,-0.7782660319326415,0.09539986574644205
317,94,13005,484,2353,845,260000,0.9862172714130213,0.051541690725004016,1.5938488434407323,-0.4842189966956269,0.9954218615967185
322,99,12099,872,2468,1136,354000,1.19210778437489,1.8662807647445376,1.8126962136333953,0.1790964083739177,2.1786675624348444
323,86,10380,576,2730,1502,301000,0.6567924506740312,0.48184064642035734,2.3112876135505926,1.0133693920696336,1.5115183906856882
327,32,10846,473,1719,1719,324000,-1.566825089314151,9.290254403785902e-05,0.387333776465529,1.5080066528946892,1.8010359557843787
329,NULL,11888,441,2134,844,214500,1,-0.1495762994369546,1.1770873297694868,-0.4864984310773092,0.42268059151017895
331,NULL,10624,352,1728,1728,119000,1,-0.5658437674465898,0.4044609619588679,1.5285215623298296,-0.77944668966047
333,85,10655,880,1629,3206,284000,0.6156143480816575,1.9036980652397857,0.21606192153214057,4.8975255784562455,1.297527146917091
335,59,9042,472,1638,943,192000,-0.45501631932006,-0.0045842600178681555,0.23318910702547943,-0.2608344272907631,0.1394568865223297
337,86,14157,676,1922,1922,377426,0.6567924506740312,0.9495569026109587,0.7736469603708386,1.9707318323761929,2.473547496347971
340,66,12400,297,1215,1215,155000,-0.16676960117344372,-0.8230877083514206,-0.5717886111614463,0.3591717245268181,-0.3262887616799113
344,63,8849,564,1684,1684,266000,-0.29030390895056496,0.42571469567748516,0.32072805510254465,1.4282264495358092,1.0709481829268117
347,NULL,12772,301,958,958,151500,1,-0.8043790581037966,-1.060864908026789,-0.22664291156552885,-0.3703457824557989
348,NULL,17600,498,1478,1478,157500,1,0.11702196659168822,-0.07129419063387785,0.9586629669092588,-0.2948194611257058
351,68,7820,617,1869,1869,318061,-0.08441339598869622,0.673604311458504,0.6727868680211765,1.8499218101470318,1.726277485387808
357,NULL,9248,400,1167,1158,173000,1,-0.3413399644751012,-0.6631336004592535,0.22924396477092793,-0.09970979768963188
359,92,6930,288,1352,1062,130000,0.9038610662282738,-0.8651821714085748,-0.3110747875406217,0.010418264129428685,-0.640981767221966
360,78,12011,592,1924,1086,280000,0.32736762993504126,0.5566752474108535,0.7774530015915805,0.0651246892898035,1.2471762660303622
361,NULL,7540,470,912,888,156000,1,-0.013938585141680183,-1.148403856103854,-0.3862033182832887,-0.3137010414582291
365,NULL,18800,566,1574,796,190000,1,0.43506902080129717,0.11139578796173652,-0.5959112813980588,0.11428144607896533
367,NULL,9500,514,1394,1394,159000,1,0.19185656758218445,-0.2311479219050404,0.7671904788479469,-0.2759378807931825
368,101,9150,296,1431,1099,165000,1.2744639895596375,-0.8277648709133266,-0.16073615932131405,0.0947573362516732,-0.2004115594630894
370,NULL,9830,576,1287,1063,162000,1,0.48184064642035734,-0.4347711272147356,0.01269769851111097,-0.23817472012813595
371,NULL,8121,460,1664,953,172400,1,-0.060710210760740325,0.28266764289512497,-0.23804008347394026,-0.10726242982264118
377,57,8846,576,914,870,148000,-0.5373725245048074,0.48184064642035734,-1.1445978148831122,-0.4272331371535698,-0.4144028032316866
378,102,11143,610,2466,1580,340000,1.3156420921520111,0.6408641735251618,1.8088901724126534,1.1911652738408518,2.0024394793312936
380,60,8123,463,1800,982,179000,-0.4138382167276862,-0.046678723075022285,0.5414784459055787,-0.17193648640515402,-0.024183476359538745
383,79,9245,639,1797,939,213500,0.368545732527415,0.7765018878204363,0.5357693840744657,-0.26995216481749224,0.41009287128849675
389,93,9382,577,1479,1468,191000,0.9450391688206475,0.4865178089822633,-0.06939117002350687,0.9358686230924359,0.1268691663006475
392,71,12209,560,1961,804,215000,0.039120911788425014,0.4070060454298611,0.8478647641753069,-0.5776758063446006,0.42897445162102005
393,NULL,8339,294,882,0,106500,1,-0.8371191960371387,-1.2054944744149838,-2.410341049217157,-0.9367931924314974
402,65,8767,400,1310,1310,164990,-0.20794770376581748,-0.3413399644751012,-0.39100165317620295,0.5757179907866351,-0.2005374366653062
405,NULL,10364,373,1572,806,168000,1,-0.46762335364656354,0.10758974674099454,-0.5731169375812359,-0.16264839879804283
406,NULL,9991,490,1620,1281,150000,1,0.0796046660964401,0.19893473603880174,0.5096143937178489,-0.3892273627883222
416,73,8899,396,1340,1340,181134,0.12147711697317251,-0.36004861472272526,-0.3339110348650735,0.6441010222371036,0.002678718593531044
418,86,22420,864,2624,1370,239000,0.6567924506740312,1.8288634642492894,2.1095674288512685,0.7124840536875721,0.7310797369413926
422,NULL,16635,529,1602,1602,215000,1,0.2620140060107747,0.16468036505212405,1.241312830237862,0.42897445162102005
428,77,8593,352,907,907,109008,0.2861895273426675,-0.5658437674465898,-1.157918959155709,-0.3428940650313253,-0.9052231901155184
430,130,11457,576,1412,1392,175000,2.468628964738476,0.48184064642035734,-0.19689355091836272,0.7626316100845824,-0.0745343572462675
432,60,5586,0,1198,901,79900,-0.4138382167276862,-2.212204989237507,-0.6041399615377531,-0.356570671321419,-1.2716265503282436
434,100,10839,470,1604,926,181000,1.2332858869672636,-0.013938585141680183,0.168486406272866,-0.2995848117793619,0.0009919640838256306
447,137,16492,578,1888,1517,190000,2.7568756828850924,0.49119497154416936,0.7089442596182252,1.0475609077948678,0.11428144607896533
453,NULL,9303,422,1756,872,204000,1,-0.23844238811316887,0.4577455390492554,-0.4226742683902052,0.290509529182516
460,NULL,7015,352,1203,709,110000,1,-0.5658437674465898,-0.5946248584858982,-0.7942220726044175,-0.8927361716556097
461,75,8004,552,1935,832,263435,0.20383332215792002,0.36958874493461297,0.7983862283056613,-0.5138516436574966,1.0386606805581968
463,60,8281,360,864,864,62383,-0.4138382167276862,-0.5284264669513418,-1.2397488454016614,-0.4409097434436635,-1.4921256454514504
469,98,11428,866,1634,1626,250000,1.150929681782516,1.8382177893731015,0.22557702458399548,1.2960192553982368,0.8695446593798967
470,76,9291,506,1710,832,187000,0.24501142475029375,0.15443926708693634,0.37020659097219016,-0.5138516436574966,0.07651828541391877
471,NULL,6820,528,1502,1488,212000,1,0.25733684344886865,-0.025621695984974255,0.9814573107260816,0.39121129095597346
474,110,14977,908,1976,1976,440000,1.6450669128910012,2.034658616973154,0.8764100733308716,2.0938212889870362,3.2612115014995124
481,98,16033,772,1850,1833,326000,1.150929681782516,1.398564508553936,0.6366294764241278,1.7678621724064696,1.8262113962277429
482,72,11846,874,1792,1792,374000,0.08029901438079877,1.8756350898683496,0.5262542810226107,1.674405362757496,2.430421966868488
485,NULL,7758,264,999,999,132500,1,-0.9774340728943192,-0.9828410630015787,-0.1331861019165552,-0.6095124666677605
488,70,12243,487,1484,1484,175000,-0.0020571908039487318,0.06557317841072206,-0.059876066971651945,0.9723395731993525,-0.0745343572462675
493,105,15578,429,1456,728,172785,1.4391763999291325,-0.20570225017982677,-0.11316064406203946,-0.7509128193524541,-0.10241615753729355
497,NULL,12692,546,3228,3200,430000,1,0.3415257695631769,3.258991877515342,4.8838489721661515,3.1353342992826905
500,70,7535,297,912,912,120000,-0.0020571908039487318,-0.8230877083514206,-1.148403856103854,-0.3314968931229139,-0.7668589694387878
504,100,15602,484,1801,1501,289000,1.2332858869672636,0.051541690725004016,0.5433814665159497,1.0110899576879513,1.360465748025502
507,80,9554,471,1911,777,215000,0.40972383511978877,-0.00926142257977417,0.7527137336567578,-0.6392205346500223,0.42897445162102005
508,75,7862,676,1218,1218,208300,0.20383332215792002,0.9495569026109587,-0.5660795493303334,0.36601002767186497,0.34463672613574936
512,40,6792,474,1368,1368,202665,-1.2374002685751613,0.004770065105943873,-0.280626457774686,0.7079251849242075,0.27370492268657026
517,NULL,10448,583,2119,689,158000,1,0.5145807843536995,1.1485420206139223,-0.8398107602380632,-0.2885256010148647
518,79,10208,889,2344,1264,265000,0.368545732527415,1.9457925282969397,1.5767216579473935,0.47086400922925004,1.0583604627051295
519,NULL,9531,546,1796,794,211000,1,0.3415257695631769,0.5338663634640948,-0.6004701501614234,0.37862357073429126
522,90,11988,336,1244,1244,150000,0.8215048610435263,-0.6406783684370861,-0.5166010134606879,0.4252753215956043,-0.3892273627883222
524,130,40094,884,4676,3138,184750,2.468628964738476,1.9224067154874096,6.014565721332525,4.74252404050185,0.048195914915133836
525,95,11787,834,2398,1379,315750,1.027395374005395,1.688548587392109,1.6794847709074263,0.7329989631227126,1.6971872639555006
209,NULL,14364,454,2062,1157,277000,1,-0.08877318613217641,1.0400698458227762,0.22696453038924566,1.2094131053653157
528,67,14948,858,2713,1452,446261,-0.12559149858106997,1.8008004888778535,2.278936263174286,0.8993976729855194,3.3400232178074645
529,58,9098,0,605,528,86000,-0.49619442191243374,-2.212204989237507,-1.732631183487746,-1.2067996956889109,-1.1948414569759822
530,NULL,32668,484,2515,2035,200624,1,0.051541690725004016,1.9021381823208314,2.228307917506291,0.2480133857141169
532,60,6155,502,1362,611,128000,-0.4138382167276862,0.13573061683931228,-0.29204458143691187,-1.0176066420092813,-0.6661572076653304
535,74,9056,403,1414,707,178000,0.16265521956554627,-0.32730847678938313,-0.19308750969762076,-0.7987809413677821,-0.03677119658122093
537,57,8924,527,1724,880,188000,-0.5373725245048074,0.2526596808869626,0.39684887951738396,-0.404438793336747,0.08910600563560095
538,NULL,12735,576,864,864,111250,1,0.48184064642035734,-1.2397488454016614,-0.4409097434436635,-0.877001521378507
539,NULL,11553,336,1159,1051,158000,1,-0.6406783684370861,-0.6783577653422214,-0.014655514069076437,-0.2885256010148647
545,58,17104,426,1496,654,179665,-0.49619442191243374,-0.21973373786554481,-0.03703981964720015,-0.9195909635969431,-0.01581264241212009
546,NULL,13837,786,2183,1204,229000,1,1.4640447844206204,1.270335339677665,0.33409794632831297,0.6052025347245706
547,70,8737,440,1635,1065,210000,-0.0020571908039487318,-0.1542534619988606,0.22748004519436646,0.017256567274475536,0.3660358505126091
549,49,8235,720,825,825,125000,-0.8667973452437975,1.1553520553348233,-1.3139666492061297,-0.5298076843292726,-0.703920368330377
553,87,11146,908,1717,1709,255500,0.697970553266405,2.034658616973154,0.38352773524478706,1.4852123090778664,0.9387771205991486
557,69,14850,299,1092,1092,141000,-0.04323529339632248,-0.8137333832276086,-0.8058601462370772,0.07880129557989721,-0.5025168447834619
561,NULL,11341,528,1392,1392,121500,1,0.25733684344886865,-0.23495396312578237,0.7626316100845824,-0.7479773891062645
565,NULL,13346,590,2295,1095,268000,1,0.5473209222870415,1.4834736480392152,0.08563959872494405,1.096123623370176
567,77,11198,656,2504,1122,325000,0.2861895273426675,0.8560136513728385,1.8812049556067505,0.1471843270303657,1.813623676006061
568,70,10171,532,1535,1517,214000,-0.0020571908039487318,0.2760454936964927,0.03717798415726818,1.0475609077948678,0.41638673139933785
570,NULL,7032,600,943,943,135960,1,0.5940925479061017,-1.0894102171823536,-0.2608344272907631,-0.5659589547007401
191,70,10570,440,2727,853,315000,-0.0020571908039487318,-0.1542534619988606,2.30557855171948,-0.46598352164216866,1.687746473789239
571,74,13101,576,1728,1728,142600,0.16265521956554627,0.48184064642035734,0.4044609619588679,1.5285215623298296,-0.4823764924287704
573,83,13159,650,1692,846,224500,0.53325814289691,0.8279506760014024,0.3359522199855125,-0.48193956231394464,0.5485577937270009
574,76,9967,400,1430,384,170000,0.24501142475029375,-0.3413399644751012,-0.16263917993168503,-1.5350382466511598,-0.13747295835467843
578,96,11777,564,1320,1164,164500,1.0685734765977688,0.42571469567748516,-0.37197144707249313,0.24292057106102163,-0.2067054195739305
581,NULL,14585,572,1429,1144,181900,1,0.46313199617273326,-0.164542200542056,0.19733188342737595,0.0123209122833396
588,74,8740,528,860,840,137000,0.16265521956554627,0.25733684344886865,-1.2473609278431452,-0.49561616860403834,-0.5528677256701907
592,97,13478,842,2296,1722,451950,1.1097515791901424,1.7259658878873572,1.4853766686495862,1.514844956039736,3.4116347581486144
595,88,7990,280,924,924,110000,0.7391486558587788,-0.902599471903823,-1.1255676087794024,-0.3041436805427265,-0.8927361716556097
596,69,11302,758,1826,1814,319000,-0.04323529339632248,1.3330842326872518,0.5909569817752242,1.7245529191545061,1.7380973546759677
603,80,10041,506,1915,908,220000,0.40972383511978877,0.15443926708693634,0.7603258160982417,-0.34061463064964304,0.491913052729431
605,88,12803,530,1494,1494,221000,0.7391486558587788,0.26669116857268066,-0.04084586086794212,0.9951339170161753,0.5045007729511132
612,NULL,10395,564,1032,1032,148000,1,0.42571469567748516,-0.9200413828593362,-0.057964767321039834,-0.4144028032316866
617,NULL,7861,393,1509,783,183200,1,-0.3740801024084433,-0.012300551712377374,-0.6255439283599286,0.028684948571526446
626,87,10000,440,1116,1116,160000,0.697970553266405,-0.1542534619988606,-0.7601876515881737,0.133507720740272,-0.26335016057150035
627,NULL,12342,286,1422,978,139900,1,-0.8745364965323869,-0.17786334481465288,-0.18105422393188317,-0.5163633370273123
641,62,12677,588,1518,1518,274000,-0.3314820115429387,0.5379665971632295,0.004826633780961472,1.04984034217655,1.171649944700269
646,NULL,10530,576,981,981,143250,1,0.48184064642035734,-1.0170954339882563,-0.17421592078683631,-0.474194474284677
648,85,10452,495,1094,1094,155000,0.6156143480816575,0.10299047890597017,-0.8020541050163352,0.08336016434326177,-0.3262887616799113
655,91,10437,839,2113,2109,350000,0.8626829636359,1.711934400201639,1.1371238969516964,2.39698606175078,2.1283166815481156
657,72,10007,312,1053,1053,145500,0.08029901438079877,-0.7529302699228304,-0.8800779500415455,-0.01009664530571187,-0.44587210378589204
252,44,4750,538,1625,1573,235000,-1.0726878582056663,0.30410846906792877,0.20844983909065665,1.1752092331690758,0.6807288560546638
666,106,11194,504,1936,1406,230500,1.4803545025215061,0.1450849419631243,0.8002892489160324,0.7945436914281343,0.6240841150570939
667,NULL,18450,596,2380,1021,129000,1,0.5753838976584776,1.6452303999207487,-0.08303854551954495,-0.6535694874436482
673,NULL,11250,546,1208,1208,165000,1,0.3415257695631769,-0.5851097554340432,0.34321568385504214,-0.2004115594630894
679,80,11844,834,2046,2046,372500,0.40972383511978877,1.688548587392109,1.0096215160568405,2.253381695704796,2.4115403865359646
680,NULL,9945,572,988,988,128500,1,0.46313199617273326,-1.0037742897156594,-0.15825988011506031,-0.6598633475544893
684,90,11248,702,1668,1626,285000,0.8215048610435263,1.071163129220515,0.2902797253366089,1.2960192553982368,1.3101148671387732
686,NULL,5062,577,2090,1190,207500,1,0.4865178089822633,1.0933544229131638,0.302185864984761,0.3345665499584036
690,61,7577,460,1362,1362,194700,-0.37266011413531247,-0.060710210760740325,-0.29204458143691187,0.6942485786341138,0.1734437311208716
692,104,21535,832,4316,2444,755000,1.3979982973367586,1.679194262268297,5.3294783015989715,3.160596579614345,7.226343371329402
696,54,13811,551,1137,1112,176000,-0.6609068322819287,0.364911582372707,-0.720224218770383,0.12438998321354287,-0.06194663702458531
698,57,6420,308,1148,980,123500,-0.5373725245048074,-0.7716389201704545,-0.6992909920563022,-0.17649535516851858,-0.7228019486629002
703,82,12438,666,2576,1234,361919,0.4920800403045363,0.9027852769918986,2.0182224395534614,0.4024809777787815,2.2783497188703454
709,65,9018,400,1456,728,179540,-0.20794770376581748,-0.3413399644751012,-0.11316064406203946,-0.7509128193524541,-0.017386107439830364
710,NULL,7162,408,904,876,109900,1,-0.30392266397985307,-1.163628020986822,-0.4135565308634761,-0.893994943677778
711,56,4130,0,729,270,52000,-0.5785506270971812,-2.212204989237507,-1.496656627801744,-1.79489376616294,-1.6228239445131767
